text;label;file
o jovem inventor nicephóre niepce foi quem conseguiu pela primeira vez registrar uma paisagem sem pintá-la , em 0000 .;fundamental;100_657.txt
foi a primeira foto !;fundamental;100_657.txt
não existia o filme fotográfico ainda : a imagem foi registrada numa placa de vidro , com o auxílio de uma câmara escura .;fundamental;100_657.txt
tinha que ser uma paisagem mesmo : essa foto demorou 00 horas para ser registrada !;fundamental;100_657.txt
imagina se ele fosse retratar uma pessoa : olha o passarinho !;fundamental;100_657.txt
só mais um pouquinho !;fundamental;100_657.txt
olha o passarinho mais 00 horinhas !;fundamental;100_657.txt
e o filme da máquina ?;fundamental;100_657.txt
foi inventado em 0000 por ferrier , e melhorado pelo americano george eastman - este , o inventor da câmera kodak .;fundamental;100_657.txt
aí é que a fotografia entra no cinema : era preciso o filme para poder fazer filmes !;fundamental;100_657.txt
algum tempo depois , os irmãos lumière vão fazer a primeira sessão de cinema em paris , capital da frança : era a invenção do cinematógrafo , uma câmera de filmar e projetar imagens em movimento .;fundamental;100_657.txt
isso aconteceu no maravilhoso ano de 0000 , o ano em que nasceu o cinema .;fundamental;100_657.txt
enchente não é sempre aquele desastre que você já deve ter visto na tv : cidades inundadas , pessoas e animais ilhados , gente que perde a casa com tudo dentro .;fundamental;100_657.txt
as enchentes são fenômenos naturais que acontecem em todos os rios .;fundamental;100_657.txt
na época das chuvas - que ocorre geralmente durante o verão , no sul do brasil , e durante o inverno , na região norte - os rios enchem e alagam as terras em redor , chamadas áreas naturais de inundação .;fundamental;100_657.txt
isso é bom , porque a água deixa a terra mais fértil para o plantio .;fundamental;100_657.txt
antigamente , antes de as cidades se formarem , a água entrava toda na terra .;fundamental;100_657.txt
quando o homem começou a tirar a vegetação e construir casas nas margens dos rios , as enchentes viraram um problemão .;fundamental;100_657.txt
sem as raízes das árvores , que funcionam como esponjas que seguram a água no solo , o volume de água que volta para os rios aumenta muito , e o risco de acontecer uma enchente desastrosa aumenta junto .;fundamental;100_657.txt
﻿muitas vezes classificado apenas como um problema na adolescência , o bullying pode acontecer ainda na infância .;fundamental;10_118.txt
denominado como um tipo de violência continuada de exclusão que machuca a vítima , seja física ou moralmente , é preciso estar atento a toda e qualquer mudança de comportamento das crianças .;fundamental;10_118.txt
